Date,Open,High,Low,Close,Volume
31-Dec-13,1121.85,1208.25,1121.85,1205.55,123
30-Dec-13,1093.50,1179.90,1081.35,1127.25,679
27-Dec-13,1078.65,1123.20,1069.20,1123.20,151
26-Dec-13,1085.40,1090.80,1063.80,1090.80,192
24-Dec-13,1111.05,1134.00,1073.25,1073.25,100
23-Dec-13,1071.90,1111.05,1061.24,1111.05,107
20-Dec-13,1063.81,1097.55,1063.81,1088.10,289
19-Dec-13,1051.65,1075.95,1051.65,1063.80,64
18-Dec-13,1080.00,1093.50,1050.61,1059.75,130
17-Dec-13,1065.15,1071.90,1053.00,1070.55,139
16-Dec-13,1093.50,1093.50,1053.54,1074.60,241
13-Dec-13,1100.25,1117.80,1074.60,1084.05,393
12-Dec-13,1112.40,1119.15,1067.85,1109.70,800
11-Dec-13,1120.50,1121.85,1107.27,1121.85,70
10-Dec-13,1112.40,1139.40,1112.40,1120.50,209
9-Dec-13,1134.00,1160.86,1129.95,1134.00,246
6-Dec-13,1135.35,1143.45,1115.10,1139.40,80
5-Dec-13,1152.90,1161.00,1131.12,1140.75,149
4-Dec-13,1161.00,1177.20,1139.40,1148.85,888
3-Dec-13,1143.45,1147.50,1115.10,1121.85,216
2-Dec-13,1175.85,1212.30,1120.51,1134.00,292
29-Nov-13,1182.60,1215.00,1154.25,1166.40,226
27-Nov-13,1209.60,1217.70,1147.50,1175.85,917
26-Nov-13,1247.40,1248.75,1189.47,1215.00,445
25-Nov-13,1147.50,1343.25,1147.50,1201.50,1693
22-Nov-13,1147.50,1152.90,1078.65,1124.55,1066
21-Nov-13,1007.10,1167.75,985.50,1081.35,911
20-Nov-13,993.60,1017.90,985.50,999.00,769
19-Nov-13,992.25,1005.75,980.11,993.60,152
18-Nov-13,961.20,1008.45,961.20,978.75,808
15-Nov-13,961.20,1003.05,946.35,961.20,444
14-Nov-13,891.00,1004.40,891.00,976.05,3070
13-Nov-13,1008.45,1039.50,965.25,986.85,86
12-Nov-13,1051.65,1051.65,996.30,1000.35,130
11-Nov-13,1032.75,1073.52,1032.75,1040.85,234
8-Nov-13,1028.70,1062.32,992.25,1023.30,153
7-Nov-13,1000.35,1081.35,1000.35,1020.60,294
6-Nov-13,954.45,999.00,945.00,992.25,239
5-Nov-13,969.30,969.30,930.15,951.75,147
4-Nov-13,966.60,966.60,953.10,965.25,126
1-Nov-13,982.80,992.67,949.05,958.50,106
31-Oct-13,950.40,1001.70,950.40,961.20,161
30-Oct-13,973.35,984.15,926.10,950.40,437
29-Oct-13,976.05,985.50,958.50,981.45,336
28-Oct-13,1053.00,1066.50,946.35,984.15,404
25-Oct-13,1085.40,1085.40,1046.25,1051.65,213
24-Oct-13,1077.30,1093.50,1067.85,1086.75,394
23-Oct-13,1094.85,1094.85,1059.75,1073.25,545
22-Oct-13,1111.05,1113.75,1092.15,1097.55,395
21-Oct-13,1125.90,1125.90,1093.50,1107.00,386
18-Oct-13,1182.60,1182.60,1115.10,1142.10,103
17-Oct-13,1224.45,1224.45,1115.10,1186.65,1849
16-Oct-13,1266.30,1281.14,1263.60,1277.10,203
15-Oct-13,1269.00,1282.50,1262.25,1262.25,42
14-Oct-13,1308.15,1308.15,1255.50,1267.65,183
11-Oct-13,1274.40,1313.55,1217.70,1313.55,346
10-Oct-13,1209.60,1282.50,1206.90,1270.35,193
9-Oct-13,1246.05,1246.05,1189.35,1240.65,99
8-Oct-13,1271.70,1271.70,1184.08,1255.50,173
7-Oct-13,1268.99,1273.05,1250.10,1271.70,358
4-Oct-13,1279.80,1279.80,1255.50,1269.00,326
3-Oct-13,1264.95,1294.65,1263.94,1283.85,64
2-Oct-13,1316.25,1316.25,1273.18,1275.75,180
1-Oct-13,1286.55,1340.55,1286.55,1310.85,44
30-Sep-13,1314.90,1339.06,1283.85,1283.85,475
27-Sep-13,1336.50,1336.50,1310.86,1328.40,59
26-Sep-13,1329.75,1348.64,1297.35,1337.85,49
25-Sep-13,1348.52,1348.52,1333.80,1333.80,49
24-Sep-13,1363.50,1363.50,1335.23,1350.00,14
23-Sep-13,1350.00,1366.20,1331.10,1362.15,636
20-Sep-13,1350.00,1377.00,1297.35,1297.35,1298
19-Sep-13,1368.90,1368.90,1329.75,1343.25,76
18-Sep-13,1368.90,1368.90,1317.74,1368.90,789
17-Sep-13,1327.05,1362.15,1323.00,1362.15,187
16-Sep-13,1350.00,1367.55,1324.35,1324.35,219
13-Sep-13,1327.05,1368.90,1327.05,1352.70,168
12-Sep-13,1359.45,1363.50,1321.65,1321.65,127
11-Sep-13,1350.00,1363.50,1344.60,1363.50,105
10-Sep-13,1364.85,1368.90,1324.35,1359.45,157
9-Sep-13,1352.70,1368.90,1343.25,1367.55,176
6-Sep-13,1366.20,1366.20,1323.00,1350.00,2885
5-Sep-13,1325.70,1368.90,1317.60,1368.90,61
4-Sep-13,1318.95,1332.45,1309.50,1323.00,85
3-Sep-13,1367.55,1367.55,1306.80,1321.65,82
30-Aug-13,1351.35,1351.35,1323.01,1348.65,59
29-Aug-13,1318.95,1348.65,1318.95,1348.65,56
28-Aug-13,1331.10,1348.64,1305.45,1308.15,76
27-Aug-13,1350.00,1366.20,1298.71,1323.00,165
26-Aug-13,1352.70,1368.90,1336.49,1351.35,193
23-Aug-13,1363.50,1363.50,1343.25,1348.65,126
22-Aug-13,1350.00,1368.90,1344.60,1363.50,176
21-Aug-13,1362.15,1368.90,1342.04,1347.30,88
20-Aug-13,1341.90,1370.25,1339.20,1356.75,857
19-Aug-13,1397.25,1397.25,1332.45,1332.45,202
16-Aug-13,1320.30,1397.25,1320.30,1375.11,1694
15-Aug-13,1310.85,1310.85,1282.50,1309.50,618
14-Aug-13,1291.95,1297.22,1125.63,1277.10,360
13-Aug-13,1328.40,1328.40,1302.75,1309.50,280
12-Aug-13,1309.50,1328.40,1302.75,1316.25,506
9-Aug-13,1302.75,1302.76,1296.00,1296.00,244
8-Aug-13,1302.74,1306.80,1296.00,1296.00,16
7-Aug-13,1296.00,1309.50,1289.25,1289.25,45
6-Aug-13,1305.45,1317.46,1302.75,1302.75,107
5-Aug-13,1318.95,1329.75,1309.50,1309.50,212
2-Aug-13,1321.65,1323.00,1317.60,1317.60,33
1-Aug-13,1323.00,1329.75,1317.60,1317.60,99
31-Jul-13,1309.50,1319.08,1309.50,1317.60,42
30-Jul-13,1333.79,1334.79,1316.25,1316.25,253
29-Jul-13,1335.15,1335.15,1309.50,1324.35,204
26-Jul-13,1316.25,1340.55,1308.15,1331.10,155
25-Jul-13,1300.05,1331.10,1277.10,1331.10,300
24-Jul-13,1309.50,1321.65,1306.80,1321.65,112
23-Jul-13,1331.10,1335.15,1305.45,1312.20,68
22-Jul-13,1324.35,1335.15,1301.40,1335.15,242
19-Jul-13,1331.10,1331.10,1298.70,1328.40,96
18-Jul-13,1323.01,1336.50,1321.65,1336.50,120
