Date,Open,High,Low,Close,Volume
31-Dec-13,12.89,13.84,12.89,13.64,1240801
30-Dec-13,12.65,12.84,12.50,12.79,214476
27-Dec-13,12.94,12.94,12.51,12.66,186530
26-Dec-13,12.79,12.99,12.77,12.88,198732
24-Dec-13,12.85,12.98,12.65,12.76,99055
23-Dec-13,12.71,12.93,12.68,12.89,290036
20-Dec-13,12.71,12.84,12.52,12.69,1505660
19-Dec-13,12.76,12.86,12.50,12.65,235625
18-Dec-13,12.68,12.88,12.49,12.84,210494
17-Dec-13,12.84,12.92,12.56,12.62,187498
16-Dec-13,12.73,13.01,12.72,12.81,262255
13-Dec-13,12.79,12.97,12.66,12.72,214340
12-Dec-13,12.48,12.98,12.46,12.72,390962
11-Dec-13,12.70,12.83,12.40,12.49,534303
10-Dec-13,12.42,12.84,12.42,12.69,529413
9-Dec-13,12.74,12.75,12.10,12.47,1107298
6-Dec-13,12.87,12.98,12.59,12.70,477384
5-Dec-13,13.22,13.23,12.71,12.83,414123
4-Dec-13,13.22,13.33,13.05,13.24,401442
3-Dec-13,13.42,13.44,13.21,13.31,240866
2-Dec-13,13.53,13.57,13.43,13.45,253325
29-Nov-13,13.50,13.58,13.38,13.47,92831
27-Nov-13,13.49,13.51,13.03,13.42,305800
26-Nov-13,13.50,13.53,13.37,13.50,278106
25-Nov-13,13.27,13.62,13.18,13.50,411420
22-Nov-13,13.70,14.05,12.92,13.18,931464
21-Nov-13,13.12,13.62,13.12,13.62,423061
20-Nov-13,12.85,13.15,12.73,13.09,303393
19-Nov-13,12.90,13.04,12.70,12.78,254265
18-Nov-13,12.99,13.12,12.82,12.90,405554
15-Nov-13,12.62,12.97,12.60,12.91,403282
14-Nov-13,12.85,12.86,12.61,12.64,404470
13-Nov-13,12.61,12.79,12.32,12.78,381359
12-Nov-13,12.54,12.69,12.50,12.58,644255
11-Nov-13,12.02,12.58,12.02,12.48,948048
8-Nov-13,11.57,12.17,11.35,11.95,875061
7-Nov-13,11.65,11.65,10.87,11.51,624837
6-Nov-13,11.43,11.44,10.89,10.98,393122
5-Nov-13,11.28,11.40,11.01,11.36,353275
4-Nov-13,11.20,11.38,11.05,11.15,230428
1-Nov-13,10.95,11.23,10.87,11.15,360398
31-Oct-13,10.94,11.05,10.81,10.94,352540
30-Oct-13,11.08,11.23,10.83,10.96,382496
29-Oct-13,10.42,11.08,10.35,11.06,778982
28-Oct-13,10.26,10.41,10.15,10.36,433208
25-Oct-13,10.28,10.39,10.10,10.16,152380
24-Oct-13,10.03,10.37,10.00,10.24,304029
23-Oct-13,10.10,10.22,9.97,10.00,308944
22-Oct-13,10.32,10.42,10.13,10.19,165241
21-Oct-13,10.34,10.34,10.22,10.25,201021
18-Oct-13,10.61,10.61,10.13,10.34,297813
17-Oct-13,10.45,10.54,10.22,10.49,232173
16-Oct-13,10.44,10.68,10.37,10.48,435444
15-Oct-13,10.61,10.64,10.26,10.38,162124
14-Oct-13,10.36,10.66,10.25,10.62,183547
11-Oct-13,10.41,10.62,10.25,10.46,284750
