Date,Open,High,Low,Close,Volume
31-Dec-13,34.20,35.00,34.20,34.71,11302
30-Dec-13,34.37,35.00,33.46,34.50,13059
27-Dec-13,33.60,34.25,33.60,34.09,4710
26-Dec-13,34.08,34.94,34.08,34.20,3163
24-Dec-13,34.36,34.36,33.73,33.73,259
23-Dec-13,34.21,34.99,33.23,34.75,3698
20-Dec-13,33.68,34.78,33.68,34.31,12748
19-Dec-13,34.50,34.50,34.00,34.20,2008
18-Dec-13,36.00,36.00,34.01,35.09,2889
17-Dec-13,35.47,35.99,35.47,35.92,716
16-Dec-13,35.67,35.67,34.73,35.09,1186
13-Dec-13,34.79,35.99,34.62,35.49,5992
12-Dec-13,35.14,35.14,34.75,34.80,3267
11-Dec-13,35.52,35.67,34.62,34.77,10091
10-Dec-13,35.75,35.75,35.44,35.75,7648
9-Dec-13,35.90,35.90,35.90,35.90,750
6-Dec-13,34.68,36.88,34.68,35.90,6450
5-Dec-13,34.88,35.00,34.40,34.85,2550
4-Dec-13,33.00,34.17,32.26,34.17,13060
3-Dec-13,32.86,33.66,32.20,33.35,5875
2-Dec-13,33.08,33.75,31.50,33.75,21570
29-Nov-13,35.00,35.00,33.60,34.19,5559
27-Nov-13,33.96,34.15,33.78,34.09,3144
26-Nov-13,34.17,34.34,33.60,33.66,7361
25-Nov-13,34.00,34.30,33.90,34.17,29443
22-Nov-13,34.62,34.62,33.70,33.90,1869
21-Nov-13,33.74,34.76,33.51,34.66,2170
20-Nov-13,33.87,33.99,33.56,33.61,2975
19-Nov-13,33.71,33.99,33.40,33.99,3577
18-Nov-13,33.57,34.00,33.45,34.00,31408
15-Nov-13,33.21,33.45,33.00,33.44,2624
14-Nov-13,33.01,33.77,33.01,33.50,2096
13-Nov-13,33.91,34.00,33.30,33.30,4756
12-Nov-13,33.33,33.95,33.33,33.92,2418
11-Nov-13,34.13,35.00,33.12,33.50,25779
8-Nov-13,33.94,33.94,32.79,33.54,5157
7-Nov-13,32.67,34.00,30.75,33.20,32855
6-Nov-13,33.83,33.83,33.00,33.00,6986
5-Nov-13,34.74,34.74,32.19,33.59,15268
4-Nov-13,30.93,33.60,30.50,32.04,45054
1-Nov-13,28.83,30.52,27.99,29.51,72346
31-Oct-13,28.25,28.25,27.30,27.99,35839
30-Oct-13,27.44,29.63,27.44,27.99,93103
29-Oct-13,27.50,28.22,27.36,27.36,1956
28-Oct-13,27.81,27.81,27.25,27.25,8319
25-Oct-13,27.95,28.00,27.60,27.65,7300
24-Oct-13,27.80,28.02,27.80,27.98,10318
23-Oct-13,27.50,28.08,27.50,27.71,7219
22-Oct-13,27.83,28.00,27.61,27.61,1851
21-Oct-13,28.69,28.69,27.55,27.55,9938
18-Oct-13,29.08,29.08,28.20,28.30,5346
17-Oct-13,28.85,29.24,27.50,28.71,3355
16-Oct-13,28.73,29.14,28.45,29.11,6000
15-Oct-13,29.23,29.23,28.29,28.56,4801
14-Oct-13,28.23,29.19,28.16,28.66,5314
11-Oct-13,28.90,29.01,28.32,28.32,2149
10-Oct-13,29.22,29.22,28.41,28.41,1600
9-Oct-13,28.50,29.37,28.50,28.75,7298
8-Oct-13,28.55,29.00,28.00,28.01,4000
7-Oct-13,27.66,29.00,27.66,28.52,9901
4-Oct-13,29.12,29.24,28.78,29.24,4300
3-Oct-13,29.05,29.93,28.57,29.24,6650
2-Oct-13,28.37,29.61,28.37,29.49,8483
1-Oct-13,29.70,30.26,28.30,28.59,33768
30-Sep-13,29.25,29.86,28.31,29.86,3667
27-Sep-13,28.57,29.76,28.56,29.42,12474
26-Sep-13,27.80,28.60,27.72,28.31,4940
25-Sep-13,27.56,28.50,27.56,27.78,2975
24-Sep-13,27.24,28.00,27.20,27.47,84430
23-Sep-13,26.97,27.33,26.75,27.10,6983
20-Sep-13,26.91,27.11,26.62,27.11,5001
19-Sep-13,27.13,27.19,26.61,26.90,4845
18-Sep-13,27.30,27.44,27.07,27.07,1725
17-Sep-13,27.38,27.89,27.15,27.38,6800
16-Sep-13,27.99,27.99,27.13,27.32,13739
13-Sep-13,27.90,27.90,27.46,27.63,3306
12-Sep-13,27.63,27.75,27.45,27.52,2847
11-Sep-13,27.78,27.78,27.45,27.68,7885
10-Sep-13,27.75,27.95,27.55,27.78,6349
9-Sep-13,28.66,28.66,27.55,27.61,10384
6-Sep-13,28.97,28.97,27.54,28.70,4188
5-Sep-13,29.35,30.30,28.76,28.93,5333
4-Sep-13,29.37,29.94,29.10,29.49,2800
3-Sep-13,29.41,31.88,28.75,29.25,9487
30-Aug-13,29.42,29.72,28.66,28.96,6837
29-Aug-13,29.92,30.04,28.09,29.23,10557
28-Aug-13,29.06,30.05,28.57,30.00,12870
27-Aug-13,31.63,31.63,29.07,30.42,26459
26-Aug-13,31.50,32.98,30.95,32.30,9014
23-Aug-13,33.73,34.00,30.26,31.15,21152
22-Aug-13,33.51,34.55,33.48,33.57,3433
21-Aug-13,34.05,34.44,33.50,33.95,8214
20-Aug-13,35.30,35.35,33.81,34.26,15729
19-Aug-13,34.31,35.49,34.27,35.32,15719
16-Aug-13,34.41,35.02,34.20,34.41,4819
15-Aug-13,35.66,36.83,34.05,34.75,8248
14-Aug-13,36.51,37.58,36.01,36.43,9370
13-Aug-13,36.95,37.78,35.62,36.70,8488
12-Aug-13,34.80,36.82,34.75,36.08,3912
9-Aug-13,34.46,35.01,34.10,34.98,4813
8-Aug-13,36.75,36.75,34.80,34.89,18571
7-Aug-13,38.29,38.29,36.64,36.93,13258
6-Aug-13,38.94,39.20,38.51,38.51,32821
5-Aug-13,38.39,39.22,38.25,38.70,24315
2-Aug-13,38.15,39.60,38.15,38.80,55320
1-Aug-13,39.11,39.50,38.00,38.51,28798
31-Jul-13,38.02,41.46,36.97,39.10,18037
30-Jul-13,39.60,40.00,37.99,38.00,14637
29-Jul-13,40.27,40.99,39.63,39.63,11543
26-Jul-13,41.50,41.51,40.20,40.41,75499
25-Jul-13,40.79,41.66,40.50,41.25,10396
24-Jul-13,40.68,41.20,40.50,40.54,3900
23-Jul-13,42.03,42.03,40.00,40.63,16724
22-Jul-13,40.35,42.16,40.35,42.16,12499
19-Jul-13,41.25,41.74,39.24,40.04,20720
18-Jul-13,41.74,42.00,41.25,41.74,5542
17-Jul-13,41.51,41.73,41.00,41.37,8850
16-Jul-13,40.87,42.48,40.66,41.50,26177
15-Jul-13,38.91,40.76,38.91,40.07,14202
12-Jul-13,38.61,39.25,38.31,39.15,13436
11-Jul-13,37.17,39.25,37.08,38.91,10914
10-Jul-13,35.69,36.67,34.82,36.67,9061
9-Jul-13,35.71,35.92,34.50,35.03,12602
8-Jul-13,35.96,36.00,34.93,35.10,18756
5-Jul-13,34.70,35.84,34.70,34.88,9749
3-Jul-13,34.20,34.54,33.90,33.90,19107
2-Jul-13,34.12,35.65,33.55,34.23,11978
1-Jul-13,35.51,36.03,33.45,35.02,17472
28-Jun-13,39.69,39.69,34.48,34.94,77605
27-Jun-13,38.00,39.00,37.72,37.87,17175
26-Jun-13,34.50,38.00,33.00,37.92,30474
25-Jun-13,33.38,35.09,33.20,34.14,13454
24-Jun-13,35.36,36.80,33.40,34.65,65489
21-Jun-13,32.40,37.25,31.04,36.25,164584
20-Jun-13,35.75,35.75,31.94,32.00,96078
19-Jun-13,39.86,39.86,35.26,35.50,61314
18-Jun-13,38.59,40.60,38.58,39.91,41620
17-Jun-13,42.18,42.50,36.66,39.01,64080
14-Jun-13,42.12,43.00,40.44,42.18,8146
13-Jun-13,43.81,43.81,41.61,43.10,24445
12-Jun-13,46.52,46.52,41.01,41.71,17040
11-Jun-13,39.24,42.50,38.15,40.98,25751
10-Jun-13,41.85,41.85,40.75,41.00,36213
7-Jun-13,39.12,42.93,38.54,42.44,54960
6-Jun-13,36.01,38.97,36.01,38.97,52063
5-Jun-13,28.49,36.67,27.96,35.90,74183
4-Jun-13,27.00,29.30,26.88,28.84,92619
3-Jun-13,35.99,35.99,26.74,27.00,163914
31-May-13,36.70,39.51,33.95,34.12,200203
30-May-13,31.18,38.00,28.55,36.71,134901
29-May-13,24.58,31.00,24.58,30.46,40762
28-May-13,23.03,30.06,22.00,24.49,20082
24-May-13,23.50,24.10,22.11,22.80,25000
23-May-13,19.45,23.00,18.24,22.75,16929
